ScientificName,latitude,longitude
Acanthopathes thyoides,14,-80
Distichopathes filix,13,-61
Distichopathes filix,14,-61
Distichopathes filix,13,-60
Distichopathes filix,15,-61
Elatopathes abietina,12,-82
Parantipathes tetrasticha,24,-81
Parantipathes tetrasticha,21,-86
Stylopathes americana,19,-65
Tanacetipathes hirta,12,-62
Tanacetipathes tanacetum,27,-79
Tanacetipathes tanacetum,0,-44
Tanacetipathes tanacetum,21,-86
Tanacetipathes tanacetum,16,-62
Tanacetipathes tanacetum,21,-87
Coralliidae,18,-79
Coralliidae,27,-79
Hemicorallium bayeri,27,-80
Coralliidae,18,-75
Chrysogorgia,24,-77
Chrysogorgia,37,-75
Chrysogorgia,18,-75
Chrysogorgia,18,-69
Chrysogorgia,12,-73
Chrysogorgia,24,-82
Chrysogorgia,13,-61
Chrysogorgia,27,-79
Chrysogorgia,14,-61
Chrysogorgia,31,-80
Callogorgia gracilis,24,-75
Nicella cf. guadalupensis,29,-88
Narella versluysi,32,-65
Narella regularis,25,-78
Narella bellissima,25,-78
Narella bellissima,24,-77
Titanideum frauenfeldii,23,-82
Ellisella,23,-82
Placogorgia tenuis,23,-82
Keratoisididae,28,-86
Thesea hebes,23,-82
Distichogorgia sconsa,28,-79
Ellisella grandis,23,-82
Candidella gigantea,28,-77
Callogorgia gracilis,28,-92
Bebryce,23,-82
Callogorgia,28,-79
Thouarella (Euthouarella) hilgendorfi,40,-68
Callogorgia,23,-82
Callogorgia,27,-79
Nicella americana,18,-69
Ellisella atlantica,23,-82
Phyllogorgia dilatata,28,-90
Callogorgia gracilis,28,-91
Chrysogorgia,30,-80
Chrysogorgia,21,-86
Scleracis guadalupensis,23,-82
Plumarella  (Plumarella) aurea,30,-80
Acanthacis,23,-82
Placogorgia,23,-82
Thesea rubra,28,-94
Chrysogorgia,23,-82
Ellisella elongata,23,-82
Keratoisis,23,-84
Bebryce grandis,21,-86
Paramuricea,20,-87
Leptogorgia medusa,29,-86
Acanella arbuscula,29,-88
Acanella arbuscula,29,-86
Leptogorgia medusa,29,-85
Keratoisis grayi,31,-79
Keratoisis flexibilis,31,-79
Anthothela,31,-79
Acanthogorgia aspera,31,-79
Swiftia koreni,31,-79
Bebryce,9,-78
Callogorgia linguimaris,28,-91
Placogorgia tenuis,21,-86
Villogorgia nigrescens,21,-86
Nicella obesa,21,-74
Iridogorgia,34,-63
Paramuricea,34,-63
Coralliidae,34,-63
Keratoisis,34,-63
Chrysogorgia,40,-71
Paramuricea,39,-64
Placogorgia rudis,29,-88
Nicella guadalupensis,11,-66
Nicella deichmannae,27,-79
Lepidisis,28,-80
Eunicella,28,-80
Anthothela tropicalis,30,-80
Eunicella,30,-80
Lepidisis,30,-80
Eunicella,27,-80
Anthothela,27,-80
Corallium medea,27,-80
Lepidisis,27,-80
Anthothela grandiflora,26,-80
Placogorgia graciosa,26,-80
Paramuricea cf. candida,26,-80
Lepidisis,26,-80
Lepidisis,24,-81
Iridogorgia magnispiralis,35,-57
Iridogorgia magnispiralis,34,-57
Iridogorgia splendens,39,-64
Placogorgia,28,-92
Anthothela cf. grandiflora,29,-88
Nicella toeplitzae,29,-88
Narella versluysi,39,-64
Paranarella watlingi,40,-66
Nicella spicula,29,-88
Nicella goreaui,29,-88
Acanthogorgia armata,28,-89
Hemicorallium niobe,27,-91
Acanella,43,-64
Acanella,43,-67
Lepidisis,32,-65
Callogorgia,32,-65
Placogorgia mirabilis,28,-94
Placogorgia tenuis,28,-94
Callogorgia gracilis,28,-94
Nicella cf. goreaui,28,-94
Nicella guadalupensis,28,-94
Diodogorgia nodulifera,28,-94
Nicella goreaui,28,-94
Bebryce cf. cinerea,28,-91
Chrysogorgia squamata,31,-80
Keratoisis grayi,31,-80
Candidella imbricata,36,-52
Candidella imbricata,38,-61
Candidella imbricata,37,-60
Candidella imbricata,39,-65
Calyptrophora microdentata,34,-57
Thouarella (Euthouarella) hilgendorfi,36,-52
Callogorgia,24,-75
Callogorgia,22,-74
Callogorgia lucaya,25,-77
Callogorgia,26,-77
Callogorgia lucaya,24,-75
Hemicorallium bathyrubrum,40,-66
Hemicorallium bathyrubrum,34,-57
Hemicorallium bayeri,34,-57
Narella pauciflora,25,-78
Anthothela,31,-80
Anthothela,28,-80
Ellisella,33,-77
Keratoisis,32,-79
Isidella,31,-80
Lepidisis,27,-91
Anthothela,34,-76
Anthothela,32,-77
Lateothela grandiflora,26,-85
Anthothela,26,-85
Keratoisis,31,-80
Acanella,31,-80
Isidella,30,-80
Keratoisis grayi,42,-66
Keratoisis,30,-80
Keratoisididae,28,-80
Plumarella (Plumarella) dichotoma,29,-80
Chrysogorgia,34,-76
Keratoisididae,29,-80
Keratoisis,28,-80
Calyptrophora trilepis,31,-80
Callogorgia,26,-78
Callogorgia gracilis,26,-78
Acanella arbuscula,44,-57
Acanella arbuscula,43,-51
Acanella arbuscula,40,-66
Keratoisis grayi,40,-66
Radicipes gracilis,41,-65
Radicipes gracilis,39,-71
Acanella,40,-70
Keratoisis,32,-77
Flagelligorgia gracilis,31,-80
Thesea,32,-79
Paramuricea placomus,32,-79
Thouarella (Thouarella) bipinnata,32,-79
Paramuricea placomus,31,-80
Swiftia,31,-80
Acanthogorgia armata,31,-80
Keratoisis flexibilis,31,-80
Anthothela tropicalis,31,-80
Acanella,33,-77
Swiftia exserta,24,-77
Acanella,28,-78
Keratoisis flexibilis,30,-80
Anthothela grandiflora,30,-80
Keratoisis,24,-75
Paramuricea grandis,40,-70
Acanella arbuscula,36,-75
Swiftia,15,-64
Diodogorgia nodulifera,10,-76
Flagelligorgia gracilis,35,-76
Thesea parviflora,35,-75
Thesea,35,-76
Keratoisididae,23,-82
Acanella arbuscula,44,-49
Acanthogorgia armata,45,-56
Chrysogorgia agassizii,39,-70
Acanella arbuscula,45,-57
Acanella,40,-69
Acanella,42,-66
Acanella,41,-66
Paramuricea,40,-71
Acanella,40,-71
Paracalyptrophora duplex,23,-82
Keratoisis grayi,41,-65
Anthothela grandiflora,45,-55
Keratoisis grayi,40,-68
Acanella arbuscula,44,-64
Acanella arbuscula,39,-71
Acanella arbuscula,39,-69
Acanthogorgia armata,38,-73
Anthothela grandiflora,43,-70
Keratoisis grayi,39,-71
Primnoa resedaeformis,42,-63
Nicella toeplitzae,21,-86
Paramuricea placomus,31,-79
Acanthacis austera,18,-68
Chrysogorgia spiculosa,17,-63
Chrysogorgia multiflora,31,-79
Chrysogorgia thyrsiformis,27,-78
Chrysogorgia desbonni,23,-82
Thesea grandiflora regulosa,21,-86
Placogorgia mirabilis,21,-86
Acanthogorgia aspera,27,-78
Plumarella  (Plumarella) pourtalesii,24,-83
Nicella robusta,21,-86
Bebryce cinerea,23,-82
Swiftia exserta,31,-80
Nicella deichmannae,23,-82
Villogorgia nigrescens,23,-82
Placogorgia rudis,21,-86
Keratoisis grayi,30,-80
Leptogorgia euryale,29,-85
Riisea paniculata,23,-82
Swiftia exserta,26,-84
Leptogorgia stheno,30,-87
Leptogorgia stheno,30,-86
Placogorgia mirabilis,29,-85
Paracalyptrophora simplex,21,-86
Ellisella elongata,30,-80
Anthothela tropicalis,28,-93
Ellisella elongata,30,-87
Acanella arbuscula,25,-79
Chrysogorgia desbonni,25,-79
Ellisella elongata,4,-51
Ellisella elongata,28,-95
Ellisella elongata,3,-48
Chrysogorgia multiflora,2,-47
Acanthogorgia schrammi,3,-48
Placogorgia tenuis,20,-76
Leptogorgia,7,-55
Callogorgia arawak,7,-55
Ellisella grandiflora,7,-55
Isidella elongata,17,-83
Acanthogorgia aspera,30,-78
Keratoisis grayi,43,-60
Ellisella elongata,7,-55
Diodogorgia nodulifera,9,-60
Leptogorgia setacea,9,-60
Leptogorgia punicea,7,-56
Placogorgia tenuis,18,-64
Chrysogorgia multiflora,18,-64
Ellisella atlantica,18,-64
Iciligorgia schrammi,18,-64
Nicella,18,-64
Nicella goreaui,18,-64
Ellisella funiculina,18,-64
Ellisella elongata,18,-64
Caliacis nutans,28,-91
Scleracis guadalupensis,28,-93
Pseudoplexaura porosa,19,-66
Corallium medea,27,-79
Hemicorallium niobe,27,-80
Nicella obesa,11,-66
Nicella obesa,26,-79
Nicella obesa,27,-79
Nicella obesa,27,-78
Nicella obesa,14,-61
Candidella imbricata,24,-82
Chrysogorgia fewkesii,26,-78
Chrysogorgia thyrsiformis,26,-79
Chrysogorgia desbonni,26,-79
Chrysogorgia thyrsiformis,21,-86
Chrysogorgia fewkesii,27,-79
Chrysogorgia desbonni,21,-86
Chrysogorgia thyrsiformis,11,-66
Chrysogorgia,14,-80
Chrysogorgia thyrsiformis,11,-61
Chrysogorgia,21,-80
Chrysogorgia thyrsiformis,14,-61
Chrysogorgia fewkesii,18,-63
Chrysogorgia,0,-44
Chrysogorgia multiflora,28,-79
Chrysogorgia squamata,18,-88
Chrysogorgia multiflora,24,-81
Chrysogorgia multiflora,14,-61
Chrysogorgia fewkesii,10,-76
Chrysogorgia multiflora,24,-82
Chrysogorgia fewkesii,8,-58
Chrysogorgia elegans,12,-60
Chrysogorgia spiculosa,24,-81
Chrysogorgia,24,-80
Chrysogorgia elegans,13,-61
Chrysogorgia elegans,24,-96
Trichogorgia lyra,10,-79
Trichogorgia lyra,9,-77
Trichogorgia lyra,21,-86
Riisea paniculata,16,-61
Riisea paniculata,14,-61
Riisea paniculata,11,-61
Riisea paniculata,10,-79
Riisea paniculata,21,-86
Chrysogorgia,17,-78
Chrysogorgia spiculosa,24,-82
Chrysogorgia elegans,12,-73
Chrysogorgia elegans,16,-61
Trichogorgia,21,-86
Flagelligorgia gracilis,28,-79
Callogorgia lucaya,26,-79
Callogorgia lucaya,21,-74
Callogorgia lucaya,18,-78
Callogorgia,28,-80
Callogorgia arawak,21,-86
Nicella robusta,26,-79
Nicella deichmannae,20,-69
Chrysogorgia thyrsiformis,21,-74
Nicella toeplitzae,11,-66
Nicella toeplitzae,27,-78
Nicella robusta,11,-66
Nicella robusta,10,-79
Nicella obesa,26,-97
Nicella obesa,21,-73
Riisea paniculata,26,-79
Riisea paniculata,11,-62
Nicella hebes,12,-82
Nicella hebes,8,-58
Nicella hebes,14,-61
Nicella hebes,11,-66
Nicella hebes,10,-79
Nicella hebes,17,-62
Nicella guadalupensis,12,-62
Nicella guadalupensis,26,-79
Nicella hebes,27,-78
Nicella,10,-80
Nicella hebes,11,-67
Nicella,28,-93
Nicella goreaui,9,-77
Nicella goreaui,11,-66
Nicella goreaui,26,-79
Nicella goreaui,10,-79
Nicella goreaui,9,-82
Nicella goreaui,10,-76
Nicella goreaui,27,-79
Nicella goreaui,10,-80
Nicella goreaui,14,-61
Nicella goreaui,11,-62
Nicella goreaui,11,-63
Nicella goreaui,8,-58
Ellisella schmitti,10,-76
Ellisella schmitti,10,-80
Ellisella schmitti,11,-63
Ellisella schmitti,22,-74
Nicella americana,11,-66
Nicella guadalupensis,17,-62
Nicella guadalupensis,12,-61
Nicella guadalupensis,14,-61
Nicella guadalupensis,8,-58
Nicella guadalupensis,11,-63
Nicella,12,-82
Nicella americana,0,-44
Nicella deichmannae,7,-55
Nicella guadalupensis,21,-74
Nicella americana,12,-62
Nicella guadalupensis,13,-60
Nicella toeplitzae,12,-62
Nicella,11,-63
Nicella gracilis,11,-66
Acanella arbuscula,37,-73
Acanella,17,-79
Placogorgia,11,-66
Swiftia,12,-73
Scleracis,11,-66
Thesea,24,-82
Chrysogorgia thyrsiformis,25,-77
Eunicella modesta,26,-80
Diodogorgia,9,-82
Placogorgia,21,-73
Villogorgia,21,-73
Villogorgia,21,-74
Placogorgia,21,-74
Paramuricea,24,-83
Acanthogorgia,11,-66
Diodogorgia,9,-76
Iciligorgia schrammi,27,-79
Iciligorgia schrammi,26,-79
Iciligorgia schrammi,21,-86
Iciligorgia schrammi,21,-87
Iciligorgia schrammi,24,-80
Iciligorgia schrammi,12,-61
Iciligorgia schrammi,13,-61
Iciligorgia schrammi,0,-44
Titanideum,32,-79
Titanideum,35,-76
Titanideum,34,-76
Titanideum,35,-75
Diodogorgia,27,-79
Diodogorgia,26,-80
Diodogorgia,24,-80
Diodogorgia,0,-44
Diodogorgia,8,-54
Diodogorgia,32,-80
Diodogorgia,10,-80
Diodogorgia,10,-79
Diodogorgia,9,-77
Diodogorgia,10,-76
Diodogorgia,9,-78
Diodogorgia,9,-80
Diodogorgia,6,-52
Diodogorgia,7,-57
Diodogorgia,11,-62
Diodogorgia,11,-64
Diodogorgia,11,-65
Diodogorgia,10,-65
Diodogorgia,11,-66
Diodogorgia,12,-67
Diodogorgia,11,-68
Diodogorgia,13,-72
Diodogorgia,12,-61
Diodogorgia,15,-61
Acanthogorgia,23,-82
Acanthogorgia,0,-44
Acanthogorgia,27,-79
Acanthogorgia,28,-79
Acanthogorgia,26,-79
Acanthogorgia aspera,27,-79
Acanthogorgia aspera,24,-81
Acanthogorgia,9,-77
Acanthogorgia,21,-86
Acanthogorgia,8,-58
Acanthogorgia,7,-53
Acanthogorgia,11,-62
Acanthogorgia,11,-63
Acanthogorgia,10,-65
Acanthogorgia,12,-67
Acanthogorgia,13,-72
Acanthogorgia,12,-71
Acanthogorgia,11,-60
Acanthogorgia,11,-61
Acanthogorgia,13,-61
Acanthogorgia,14,-61
Acanthogorgia,15,-61
Acanthogorgia,17,-62
Acanthogorgia,21,-73
Acanthogorgia,17,-78
Acanthogorgia armata,37,-74
Acanella,29,-88
Acanella,12,-72
Acanella,24,-97
Acanella,29,-87
Acanella,25,-96
Metallogorgia,25,-78
Chrysogorgia elegans,11,-74
Eunicella,31,-80
Eunicella modesta,27,-80
Eunicella modesta,28,-79
Eunicella modesta,27,-79
Eunicella modesta,32,-79
Eunicella modesta,26,-79
Swiftia casta,27,-79
Swiftia casta,24,-81
Swiftia casta,27,-80
Swiftia casta,28,-79
Swiftia casta,26,-79
Swiftia casta,25,-80
Swiftia,27,-78
Swiftia casta,25,-81
Swiftia casta,21,-86
Swiftia casta,21,-87
Swiftia casta,24,-82
Swiftia koreni,24,-81
Swiftia exserta,0,-44
Swiftia exserta,11,-67
Swiftia exserta,10,-79
Swiftia exserta,9,-77
Swiftia exserta,6,-52
Swiftia exserta,7,-57
Swiftia exserta,8,-58
Swiftia exserta,11,-62
Swiftia exserta,11,-66
Swiftia exserta,12,-67
Swiftia exserta,12,-72
Swiftia exserta,27,-79
Swiftia exserta,26,-80
Swiftia exserta,25,-80
Swiftia,28,-96
Swiftia,24,-81
Swiftia,28,-79
Swiftia,26,-78
Swiftia,26,-79
Swiftia,21,-86
Paramuricea,28,-79
Paramuricea,8,-58
Paramuricea,14,-61
Paramuricea,29,-87
Paramuricea,24,-81
Paramuricea,27,-80
Paramuricea multispina,24,-81
Paramuricea,27,-79
Paramuricea,24,-82
Paramuricea,25,-81
Scleracis,27,-79
Scleracis,26,-79
Scleracis,27,-78
Scleracis,21,-86
Scleracis guadalupensis,0,-44
Scleracis,0,-44
Scleracis,10,-76
Scleracis,9,-77
Scleracis,9,-78
Scleracis,10,-79
Scleracis,9,-82
Scleracis,11,-62
Scleracis,8,-58
Scleracis,12,-67
Scleracis,11,-60
Scleracis,14,-61
Thesea,29,-86
Thesea,27,-97
Thesea,0,-44
Thesea,8,-54
Thesea,7,-55
Thesea,28,-91
Thesea,13,-71
Thesea,21,-86
Thesea,24,-81
Thesea,27,-79
Thesea,26,-79
Thesea,26,-80
Thesea,25,-81
Thesea,21,-87
Thesea,24,-80
Thesea,28,-79
Thesea,10,-76
Thesea,17,-88
Thesea,7,-53
Thesea,11,-62
Thesea,11,-63
Thesea,11,-66
Thesea,12,-67
Thesea,12,-69
Thesea,13,-72
Thesea,12,-72
Thesea,12,-73
Thesea,11,-61
Thesea,12,-61
Thesea,13,-61
Thesea,14,-61
Thesea,21,-73
Thesea,12,-82
Placogorgia,28,-91
Placogorgia,7,-55
Placogorgia,0,-44
Placogorgia,28,-79
Placogorgia,21,-86
Placogorgia,17,-88
Placogorgia,11,-62
Placogorgia,11,-63
Placogorgia,12,-73
Placogorgia,14,-61
Placogorgia,19,-65
Placogorgia,24,-81
Placogorgia,26,-79
Placogorgia tenuis,27,-78
Placogorgia tribuloides,21,-86
Placogorgia,21,-87
Acanthacis,13,-61
Muriceides,9,-60
Muriceides,12,-71
Muriceides,18,-63
Muriceides,8,-54
Muriceides,28,-79
Muriceides,24,-80
Muriceides,25,-81
Muriceides,24,-79
Leptogorgia,11,-63
Villogorgia,12,-82
Villogorgia,27,-79
Villogorgia,26,-79
Villogorgia,21,-86
Villogorgia,21,-87
Villogorgia,10,-76
Villogorgia,9,-78
Villogorgia,10,-79
Villogorgia,8,-58
Villogorgia,11,-62
Villogorgia,12,-67
Villogorgia,12,-61
Villogorgia,13,-61
Villogorgia,14,-61
Villogorgia,16,-61
Eunicella,28,-79
Eunicella,32,-79
Paramuricea,28,-96
Swiftia,12,-63
Swiftia,8,-54
Scleracis,19,-69
Leptogorgia setacea,11,-64
Leptogorgia setacea,11,-66
Leptogorgia,7,-54
Leptogorgia,24,-81
Leptogorgia,24,-83
Leptogorgia,32,-79
Leptogorgia,10,-76
Leptogorgia,9,-81
Leptogorgia,11,-64
Bebryce cinerea,26,-79
Bebryce cinerea,21,-86
Bebryce cinerea,11,-62
Bebryce parastellata,35,-76
Bebryce asteria,25,-79
Bebryce asteria,26,-79
Bebryce grandis,26,-79
Bebryce grandis,27,-79
Bebryce grandis,10,-79
Bebryce grandis,14,-80
Bebryce asteria,27,-79
Bebryce,7,-55
Bebryce cinerea,10,-79
Bebryce,9,-77
Bebryce,11,-62
Bebryce,11,-61
Bebryce,13,-61
Bebryce,14,-61
Bebryce,27,-79
Bebryce,26,-79
Bebryce,21,-86
Bebryce,21,-87
Thesea,7,-54
Echinomuricea,10,-79
Echinomuricea,21,-86
Echinomuricea,11,-62
Echinomuricea,12,-82
Echinomuricea,11,-67
Echinomuricea,27,-79
Echinomuricea,26,-79
Echinomuricea,28,-79
Echinomuricea,27,-78
Echinomuricea,21,-87
Muriceides,28,-93
Anthothela,17,-78
Acanthogorgia,42,-66
Diodogorgia,11,-63
Bebryce,11,-63
Muriceides k\u00fckenthali,28,-79
Chrysogorgia,12,-63
Acanella arbuscula,25,-96
Eunicella modesta,32,-78
Eunicella modesta,30,-77
Keratoisis grayi,29,-80
Keratoisis flexibilis,29,-80
Ellisella,14,-81
Acanthogorgia,28,-80
Chrysogorgia,31,-79
Radicipes challengeri,24,-80
Paramuricea,39,-72
Anthothela,26,-78
Anthothela tropicalis,26,-80
Anthothela tropicalis,27,-80
Anthothela,27,-79
Anthothela,17,-63
Anthothela,30,-80
Chrysogorgia,25,-80
Caliacis nutans,27,-79
Caliacis nutans,10,-80
Caliacis nutans,9,-78
Caliacis nutans,10,-79
Caliacis nutans,21,-86
Caliacis nutans,13,-72
Caliacis nutans,12,-62
Caliacis nutans,12,-69
Acanella,18,-64
Acanella,16,-61
Acanella,8,-54
Keratoisis flexibilis,12,-62
Keratoisis flexibilis,31,-78
Lepidisis,25,-80
Hypnogorgia pendula,12,-61
Hypnogorgia pendula,17,-81
Lepidisis longiflora,17,-63
Keratoisis grayi,28,-79
Keratoisis grayi,23,-82
Thesea nivea,14,-61
Narella,24,-83
Paramuricea echinata,24,-77
Villogorgia nigrescens,27,-79
Heterogorgia,17,-88
Scleracis guadalupensis,21,-86
Titanideum,32,-80
Leptogorgia setacea,32,-80
Ellisella elongata,31,-80
Chrysogorgia thyrsiformis,18,-67
Candidella imbricata,28,-77
Acanella,28,-77
Keratoisis,28,-77
Leptogorgia hebes,32,-80
Titanideum frauenfeldii,32,-80
Diodogorgia nodulifera,30,-80
Ellisella elongata,32,-80
Leptogorgia,32,-80
Leptogorgia virgulata,32,-80
Leptogorgia punicea,34,-77
Leptogorgia,34,-77
Leptogorgia hebes,34,-77
Thesea,34,-77
Ellisella,20,-76
Placogorgia,20,-76
Nicella obesa,20,-76
Ellisella grandis,18,-76
Scleracis,10,-80
Anthomuricea,23,-82
Caliacis nutans,10,-76
Ellisella,32,-80
Scleracis petrosa,26,-84
Leptogorgia cardinalis,27,-83
Placogorgia rudis,25,-84
Leptogorgia medusa,27,-83
Leptogorgia stheno,27,-83
Paramuricea placomus,23,-82
Diodogorgia nodulifera,27,-83
Thesea grandiflora,26,-84
Nicella toeplitzae,26,-84
Bebryce,9,-59
Thesea,16,-61
Ellisella elongata,10,-79
Chrysogorgia thyrsiformis,20,-76
Villogorgia nigrescens,29,-90
Thesea cf. rubra,29,-90
Bebryce grandis,29,-90
Ellisella elongata,29,-90
Diodogorgia nodulifera,10,-80
Pseudoplexaura porosa,10,-76
Pseudodrifa,66,-57
Drifa glomerata,66,-62
Lepidisis caryophyllia,40,-70
Acanella arbuscula,40,-72
Chrysogorgia agassizii,40,-69
Thesea,23,-75
Acanella arbuscula,39,-74
Acanella cf. arbuscula,32,-77
Ellisella,25,-84
Villogorgia nigrescens,18,-75
Nicella obesa,18,-75
Swiftia,23,-82
Ellisella atlantica,27,-83
Ellisella,32,-79
Titanideum frauenfeldii,32,-79
Diodogorgia,32,-79
Thesea,35,-75
Leptogorgia cf. setacea,32,-80
Leptogorgia,31,-80
Eunicella modesta,31,-78
Acanella arbuscula,27,-90
Candidella imbricata,27,-90
Keratoisis,40,-68
Swiftia koreni,40,-68
Nicella obesa,28,-91
Riisea paniculata,28,-91
Nicella toeplitzae,28,-91
Nicella robusta,28,-91
Paramuricea,42,-66
Radicipes gracilis,42,-66
Callogorgia delta,28,-92
Lepidisis caryophyllia,40,-68
Paracalyptrophora,25,-78
Ellisella,25,-78
Placogorgia tribuloides,25,-84
Acanthacis,25,-84
Paramuricea,25,-84
Bebryce cinerea,25,-84
Ellisella cf. atlantica,25,-84
Muriceides hirta,25,-84
Callogorgia delta,28,-91
Thesea,20,-71
Acanthogorgia schrammi,20,-71
Lepidisis caryophyllia,24,-83
Thesea,12,-71
Stylaster,32,-79
Stylaster,33,-78
Stylasteridae,31,-80
Stylasteridae,27,-80
Stylasteridae,26,-80
Stylasteridae,24,-81
Stylasteridae,25,-81
Bathypathes,32,-79
Bathypathes,31,-80
Bathypathes,30,-80
Bathypathes,27,-80
Antipathes,26,-80
Antipathes,24,-81
Plumarella,32,-77
Acanella,28,-80
Plumarella,28,-80
Eunicella,26,-80
Keratoisididae,26,-80
Plumarella,26,-80
Acanella,27,-80
Keratoisididae,27,-80
Madrepora oculata,32,-78
Alaskagorgia aleutiana,52,-171
Alaskagorgia aleutiana,53,-171
Alaskagorgia aleutiana,52,-172
Alaskagorgia aleutiana,53,-172
Alaskagorgia aleutiana,52,-179
Alaskagorgia aleutiana,52,-178
Alaskagorgia aleutiana,53,-180
Alaskagorgia aleutiana,52,177
Alaskagorgia aleutiana,52,176
Alaskagorgia aleutiana,52,-175
Alaskagorgia aleutiana,52,-174
Alaskagorgia aleutiana,52,-176
Alaskagorgia aleutiana,51,-178
Alaskagorgia aleutiana,52,178
Alaskagorgia aleutiana,52,173
Alaskagorgia aleutiana,53,173
Alaskagorgia aleutiana,52,174
Alaskagorgia aleutiana,53,171
Alaskagorgia aleutiana,53,-169
Alaskagorgia aleutiana,52,179
Alcyonium,53,-169
Alcyonium,52,-172
Alcyonium,52,175
Alcyonium,52,174
Alcyonium,53,172
Alcyonium,52,-173
Alcyonium,54,-165
Alcyonium,53,-170
Alcyonium,52,176
Alcyonium,52,180
Alcyonium,53,-172
Alcyonium,52,-171
Alcyonium,53,-171
Alcyonium,54,-166
Alcyonium,52,178
Alcyonium,52,177
Alcyonium,54,-167
Alcyonium,53,-168
Alcyonium,52,-170
Alcyonium,52,-174
Alcyonium,52,-178
Alcyonium,56,-154
Alcyonium,52,179
Alcyonium,52,-175
Thouarella,53,-169
Thouarella,57,-155
Thouarella,59,-151
Thouarella,59,-150
Thouarella,53,-170
Thouarella,52,-171
Thouarella,52,-172
Thouarella,53,-172
Thouarella,52,-173
Thouarella,52,-174
Thouarella,52,-175
Thouarella,52,-177
Thouarella,52,-178
Thouarella,51,-179
Thouarella,53,-180
Thouarella,52,-179
Thouarella,52,-180
Thouarella,51,179
Thouarella,52,177
Thouarella,52,176
Thouarella,53,172
Thouarella,53,173
Thouarella,52,175
Thouarella,56,-169
Thouarella,52,-170
Thouarella,53,-171
Thouarella,53,-173
Thouarella,56,-171
Thouarella,52,178
Thouarella,52,174
Thouarella,53,-168
Thouarella,53,-167
Thouarella,54,-165
Thouarella,54,-166
Thouarella,54,-167
Thouarella,54,-168
Thouarella,53,-174
Thouarella,53,174
Thouarella,56,-170
Thouarella,56,-172
Thouarella,57,-174
Thouarella,58,-174
Thouarella,51,-178
Thouarella,52,-176
Thouarella,52,179
Thouarella,52,180
Thouarella,60,-173
Thouarella,56,-168
Thouarella,53,180
Thouarella,56,-157
Thouarella,57,-170
Thouarella,53,-179
Thouarella,53,171
Thouarella,53,-166
Thouarella,58,-160
Thouarella,57,-172
Thouarella,55,-159
Thouarella,55,-158
Thouarella,58,-150
Anthomastus,53,-169
Anthomastus,53,-170
Anthomastus,52,-171
Anthomastus,53,-171
Anthomastus,52,-172
Anthomastus,53,-172
Anthomastus,52,-173
Anthomastus,52,-179
Anthomastus,52,-180
Anthomastus,52,180
Anthomastus,51,179
Anthomastus,52,178
Anthomastus,41,-125
Anthomastus,47,-125
Anthomastus,45,-125
Anthomastus,43,-125
Anthomastus,46,-124
Anthomastus,52,-175
Anthomastus,52,-177
Anthomastus,52,-178
Anthomastus,52,179
Anthomastus,52,177
Anthomastus,52,176
Anthomastus,39,-124
Anthomastus,40,-125
Anthomastus,44,-125
Anthomastus,38,-123
Anthomastus,56,-135
Anthomastus,36,-122
Anthomastus,35,-121
Anthomastus,37,-123
Anthomastus,46,-125
Anthomastus,52,-170
Anthomastus,52,-174
Anthomastus,53,172
Anthomastus,40,-124
Anthomastus,56,-158
Anthomastus,37,-122
Anthomastus,55,-168
Anthomastus,53,-174
Anthomastus,52,-176
Anthomastus,52,175
Anthomastus,54,-166
Anthomastus,53,-173
Anthomastus,57,-152
Anthomastus,38,-124
Anthomastus,54,-165
Anthomastus,52,174
Anthomastus,55,-158
Anthomastus,56,-170
Anthomastus,55,-135
Anthomastus,53,173
Anthomastus,59,-141
Anthomastus,51,-178
Anthomastus,51,-179
Anthomastus,53,-180
Anthoptilum grandiflorum,46,-125
Anthoptilum grandiflorum,45,-125
Anthoptilum grandiflorum,45,-124
Anthoptilum grandiflorum,44,-125
Anthoptilum grandiflorum,43,-125
Anthoptilum grandiflorum,42,-125
Anthoptilum grandiflorum,41,-125
Anthoptilum grandiflorum,40,-124
Anthoptilum grandiflorum,40,-125
Anthoptilum grandiflorum,39,-124
Anthoptilum grandiflorum,37,-123
Anthoptilum grandiflorum,38,-123
Anthoptilum grandiflorum,35,-121
Anthoptilum grandiflorum,35,-122
Anthoptilum grandiflorum,36,-122
Anthoptilum grandiflorum,37,-122
Anthoptilum grandiflorum,38,-124
Anthoptilum grandiflorum,47,-125
Anthoptilum grandiflorum,48,-125
Anthoptilum grandiflorum,48,-126
Anthoptilum grandiflorum,34,-121
Anthoptilum grandiflorum,53,-168
Anthoptilum grandiflorum,56,-136
Anthoptilum murrayi,58,-149
Anthoptilum murrayi,59,-149
Anthoptilum murrayi,59,-178
Anthoptilum murrayi,60,-179
Anthoptilum murrayi,61,-179
Anthoptilum murrayi,53,173
Antipatharia,45,-125
Antipatharia,56,-135
Antipatharia,47,-125
Antipatharia,43,-125
Antipatharia,58,-174
Antipatharia,58,-175
Antipatharia,58,-176
Antipatharia,59,-175
Arthrogorgia otsukai,53,-170
Arthrogorgia otsukai,53,-168
Arthrogorgia otsukai,53,-166
Arthrogorgia otsukai,54,-166
Arthrogorgia otsukai,54,-161
Arthrogorgia otsukai,52,-178
Arthrogorgia otsukai,52,-177
