ScientificName,latitude,longitude
Pourtalocyathus hispidus,23,-82
Pourtalocyathus hispidus,23,-83
Balanophyllia (Balanophyllia) floridana,24,-82
Dendrophyllia alternata,27,-80
Dendrophyllia alternata,28,-79
Enallopsammia profunda,28,-79
Enallopsammia profunda,25,-79
Enallopsammia profunda,27,-80
Enallopsammia profunda,26,-79
Enallopsammia profunda,24,-81
Enallopsammia profunda,26,-85
Enallopsammia rostrata,23,-82
Thecopsammia socialis,27,-80
Thecopsammia socialis,27,-79
Thecopsammia socialis,25,-80
Thecopsammia socialis,32,-79
Bathypsammia tintinnabulum,24,-80
Bathypsammia tintinnabulum,24,-82
Bathypsammia tintinnabulum,25,-80
Bathypsammia tintinnabulum,26,-85
Bathypsammia fallosocialis,28,-80
Schizocyathus fissilis,28,-92
Thalamophyllia riisei,28,-92
Schizocyathus fissilis,28,-90
Thalamophyllia riisei,20,-92
Oculina varicosa,28,-80
Solenosmilia variabilis,24,-81
Enallopsammia profunda,30,-80
Enallopsammia profunda,26,-80
Lophelia pertusa,27,-85
Leiopathes cf. glaberrima,32,-78
Leiopathes glaberrima,29,-88
Phanopathes expansa,28,-91
Balanophyllia (Balanophyllia) floridana,25,-80
Balanophyllia (Balanophyllia) floridana,26,-80
Balanophyllia (Balanophyllia) cyathoides,27,-79
Balanophyllia (Balanophyllia) cyathoides,27,-78
Balanophyllia (Balanophyllia) cyathoides,26,-79
Balanophyllia (Balanophyllia) palifera,21,-86
Balanophyllia (Eupsammia) caribbeana,15,-61
Balanophyllia (Eupsammia) pittieri,16,-86
Balanophyllia (Balanophyllia) wellsi,27,-79
Acanella arbuscula,42,-66
Acanella arbuscula,44,-59
Acanella arbuscula,40,-70
Acanella arbuscula,37,-74
Acanella arbuscula,40,-67
Acanella arbuscula,41,-67
Acanella arbuscula,40,-71
Acanella arbuscula,43,-63
Acanella arbuscula,44,-58
Acanella arbuscula,43,-61
Acanella arbuscula,41,-66
Acanella arbuscula,43,-60
Acanthogorgia armata,42,-70
